,Original ID,side_a,side_b,Catalyst Music Genre Side A,Catalyst Music Genre Side B,Label Name,text
14,columbia_9661,La Muerte Por Amor,Veinte Años,Ranchera,Ranchera,Columbia,la muerte por amor veinte aos cuco sanchez la guitarra de bribiesca falds leal ranchera ranchera columbia
15,columbia_9662,De Puerto En Puerto,Playa Sola,Bolero,Bolero,Columbia,de puerto en puerto playa sola adolfo salas hermanas huerta con el mariachi jalisco de pepe villa abelardo pulido bolero bolero columbia
16,columbia_9667,Cataclismo,Trinidad,Bolero,Porro,Columbia,cataclismo trinidad esteban taronji cuarteto imperial heli toro alvarez bolero porro columbia
17,columbia_9669,Cigarron Colorao,La Rajita De Canela,Cumbia,Cumbia,Columbia,cigarron colorao la rajita de canela herrero carmen rivero su conjunto lopez cumbia cumbia columbia
18,columbia_9670,Abrazame Asi,Esperando Que Vuelvas,Bolero,Bolero,Columbia,abrazame asi esperando que vuelvas mario clavell horacio molina con jose carli su orq carlos contreras bolero bolero columbia
19,columbia_9673,Cuatro Cirios,Payaso,Bolero,Bolero,Columbia,cuatro cirios payaso federico baena javier solis con el mariachi jalisco de pepe villa fernando maldonado bolero bolero columbia
20,columbia_9700,Perdon,Lupita,Bolero,Bolero,Columbia,perdon lupita perdo flores trio los panchos gilnavarroalbino gil bolero bolero columbia
21,columbia_9708,Como Dijo Cristo,Cada Vez,Bolero,Bolero,Columbia,como dijo cristo cada vez ramon ortega contreras javier solis con el mariachi jalisco de pepe villa rossir ferrantea stillman bolero bolero columbia
22,columbia_9710,Perdoname Mi Vida,La Noche De Mi Amor,Bolero,Bolero,Columbia,perdoname mi vida la noche de mi amor gabriel ruizj zorrilla trio los panchos gilnavarroalbino dolores duran bolero bolero columbia
23,columbia_9714,La Ruletera,A La Luz De Una Vela,Ranchera,Ranchera,Columbia,la ruletera la luz de una vela turrubiatesm ortiz las palomas margarito estrada ranchera ranchera columbia
24,columbia_9715,Que Te Vayas,Suerte Chiquita,Ranchera,Ranchera,Columbia,que te vayas suerte chiquita margarito estrada dueto america su conjunto chucho nila aguirre ranchera ranchera columbia
25,columbia_9719,Donde,Por Esta Noche,Bolero,Bolero,Columbia,donde por esta noche italo salas sonia furio victor manuel mato bolero bolero columbia
26,columbia_9721,Juventud,Es Un Golfo,Bolero,Bolero,Columbia,juventud es un golfo ernesto lecuona trio los panchos gilnavarroalbino 010112355 010112349 bolero bolero columbia
27,columbia_9721,Juventud,Es Un Golfo,Bolero,Bolero,Columbia,juventud es un golfo ernesto lecuona trio los panchos gilnavarroalbino bolero bolero columbia
28,columbia_9732,Como Presiento,Sin Nombre,Bolero,Bolero,Columbia,como presiento sin nombre ernesto lecuona trio los panchos gilnavarroalbino bolero bolero columbia
29,columbia_9733,Por Que Me Dejas?,Espumas,Bolero,Bolero,Columbia,por que me dejas espumas et maintenant beaudp de la noej guiu clara javier solis jorge villamil bolero bolero columbia
30,columbia_9738,La Cumparsita,Que Falta Que Me Haces,Tango,Tango,Columbia,la cumparsita que falta que me haces rodriguez contursi maroni julio sosa con leopoldo federico su orq tipica calo pontier silva tango tango columbia
31,columbia_9740,El Diluvio,Naufragar,Bolero,Bolero,Columbia,el diluvio naufragar ruben fuentesluis demetrio trio los panchos gilnavarro albino herreram molina montes bolero bolero columbia
32,columbia_9751,Me Quiero Perder Contigo,Mi Regalo,Bolero,Bolero,Columbia,me quiero perder contigo mi regalo alfredo gil trio los panchos gilnavarroalbino ethel diego guzman bolero bolero columbia
33,columbia_9755,Amigo Organillero,Me Recordaras,Bolero,Bolero,Columbia,amigo organillero me recordaras rafael carrion javier solis adolfo salas bolero bolero columbia
34,columbia_9756,Jilguerito Herido,Las Piedritas,Ranchera,Ranchera,Columbia,jilguerito herido las piedritas pascual mariscal barba dueto las palomas con el conjunto america rafael cepedaramon gutierrez ranchera ranchera columbia
35,columbia_9762,Mil Bocas,Almas Olvidadas,Bolero,Bolero,Columbia,mil bocas almas olvidadas servando diaz trio los panchos gilnavarroalbino lydio fuentes bolero bolero columbia
36,columbia_9765,Tu Voz,Cuando Vivas Conmigo,Bolero,Bolero,Columbia,tu voz cuando vivas conmigo barrieria gil jr javier solis jose jimenez bolero bolero columbia
37,columbia_9769,Mucho Te Extraño,Insaciable,Bolero,Bolero,Columbia,mucho te extrao insaciable chucho navarro trio los panchos gilnavarroalbino miguel angel valladares bolero bolero columbia
38,columbia_9773,Triste Papel,Cuando Vuelvas A Mi,Ranchera,Ranchera,Columbia,triste papel cuando vuelvas mi felipe aguilera osorio dueto amanecer miguel gmez npoles ranchera ranchera columbia
39,columbia_9774,Homenaje A Javier,En Tu Memoria Javier,Bolero,Bolero,Columbia,homenaje javier en tu memoria javier rosendo montiel hermanas huerta con el mariachi popular de cruz marcela galvan bolero bolero columbia
40,columbia_9782,Dos Horas,Te Lo Dije,Bolero,Bolero,Columbia,dos horas te lo dije recompensa alvaro carrillo trio los panchos consuelo velasquez bolero bolero columbia
41,columbia_9789,Gorda,Que Te Importa,Bolero,Bolero,Columbia,gorda que te importa ruben fuentes javier solis con el mariachi de silvestre vargas rafael hernandez con el mariachi aguilas michoacanas bolero bolero columbia
42,columbia_9795,Que Te Importa,Preciosa,Bolero,Bolero,Columbia,que te importa preciosa rafael hernndez linda vera su conjunto tropical bolero bolero columbia
43,columbia_9796,Esos Ojos,Mi Lupita,Ranchera,Ranchera,Columbia,esos ojos mi lupita jesus ramrez las palomas con el conjunto amrica elfego del campo ranchera ranchera columbia
44,columbia_9797,Loco De Celos,Carita De Muñeca,Bolero,Bolero,Columbia,loco de celos carita de mueca rodolfo melndezroberto villareal juan salazar su conjunto bolero bolero columbia
45,columbia_9803,Volvi La Espalda,Que No Te Cuenten Cuentos,Bolero,Bolero,Columbia,volvi la espalda que no te cuenten cuentos rubn fuentesa gil jr trio los panchos gilnavarrocceres federico baeno bolero bolero columbia
46,columbia_9807,El Conductor,Va La Cumbia,Cumbia,Cumbia,Columbia,el conductor va la cumbia buitragoj bedoya henry nelson henry nelson cumbia cumbia columbia
47,columbia_9814,Infierno Y Gloria,Las Rejas No Matan,Bolero,Bolero,Columbia,infierno gloria las rejas no matan abelardo pulido javier solis mndez sosa bolero bolero columbia
48,columbia_9823,En Tu Boda,Declarate Inocente,Bolero,Bolero,Columbia,en tu boda declarate inocente midaguilar trio los panchos gilnavarrocaceres jose alfredo jimenez bolero bolero columbia
49,columbia_9832,Te Necesito,Poquita Fe,Bolero,Bolero,Columbia,te necesito poquita fe luis demetrio javier solis con orquesta boby cap bolero bolero columbia
50,columbia_9835,Nos Queremos Los Dos,Mia No Mas,Bolero,Bolero,Columbia,nos queremos los dos mia no mas roberto garca los melodicos agustn lara bolero bolero columbia
51,columbia_9848,La Preciosa,El Jardin De Los Amores,Ranchera,Ranchera,Columbia,la preciosa el jardin de los amores fernando muiz los madrugadores del bajio salomn reyes ranchera ranchera columbia
52,columbia_9850,Cruel Desilusion,No Te Puedes Comparar,Bolero,Bolero,Columbia,cruel desilusion no te puedes comparar pedro gonzlez trio los panchos gilnavarroalbino hugo blanco bolero bolero columbia
53,columbia_9852,Ayudame,Luto Blanco,Bolero,Bolero,Columbia,ayudame luto blanco federico baena jorge valente rosendo montiel bolero bolero columbia
54,columbia_9857,Me Voy Pensando En Ti,Lo Peor De La Vida,Ranchera,Ranchera,Columbia,me voy pensando en ti lo peor de la vida antonio valds herrera antonio valdes herrera con el mariachi popular de jose cruz ranchera ranchera columbia
55,columbia_9859,Cinco Centavitos,La Cobija Del Sol,Bolero,Bolero,Columbia,cinco centavitos la cobija del sol hector ulloa marco antonio alcala arreglo direccin de rafael carrin victor cordero bolero bolero columbia
56,columbia_9892,Angelitos Negros,Flor,Bolero,Bolero,Columbia,angelitos negros flor eloy blancom alvarez maciste trio los panchos gilnavarroalbino guty crdenas bolero bolero columbia
57,columbia_9921,Semilla De Maldades,El Diablo Se Me Ha Metido,Ranchera,Ranchera,Columbia,semilla de maldades el diablo se me ha metido margarito estrada dueto rio bravo eva ma del socorro pascual mariscal barba ranchera ranchera columbia
58,columbia_9933,Puedo Fallar,Hablame,Bolero,Bolero,Columbia,puedo fallar hablame alvaro carrillo trio los panchos gilnavarrocceres prod valds paco michel bolero bolero columbia
59,columbia_9948,Dios Te Bendiga,Se Me Va La Vida,Bolero,Bolero,Columbia,dios te bendiga se me va la vida chucho navarro trio los panchos gilnavarrocceres promotional mani records dist corp alfredo gil bolero bolero columbia
60,columbia_9968,Se Caso Yolanda,Antes Que Tu,Bolero,Bolero,Columbia,se caso yolanda antes que tu arsenio rodrguez trio los panchos gilnavarrocceres arreglo gil luis abanto morales bolero bolero columbia
61,columbia_10010,Ya Se Fue El Tren,Mi Gran Amor Por Ti,Ranchera,Ranchera,Columbia,ya se fue el tren mi gran amor por ti cuco sanchez ranchera ranchera columbia
62,columbia_10017,Ahi Que Muera,Dicen Que Tu,Bolero,Bolero,Columbia,ahi que muera dicen que tu disco promocional prohibida la venta elizondo chelo silva con el conjunto de fernando maldonado fuentesa cervantes bolero bolero columbia
63,columbia_10020,Lo Siento Mucho,Ojitos Claritos Chinitos,Ranchera,Ranchera,Columbia,lo siento mucho ojitos claritos chinitos disco promocional prohibida la venta lorenzo morales las palomas carolina elvira gonzlez agustn moreno ranchera ranchera columbia
64,columbia_10022,Villa España,Que Hipocrita,Bolero,Bolero,Columbia,villa espaa que hipocrita pedro flores trio los panchos gilnavarrocceres prod por alfredo gil jr bolero bolero columbia
65,columbia_10028,Corrido De Jesús Chavarría,Lagrimas Y Pesares,Corrido,Ranchera,Columbia,corrido de jess chavarra lagrimas pesares disco promocional prohibida la venta arr hnos rodrguez los bravos del llano prod por valds petronilo melgoza corrido ranchera columbia
66,columbia_10033,Si No Regreso A Cuba,Cuba Es Asi,Bolero,Bolero,Columbia,si no regreso cuba cuba es asi chucho navarro trio los panchos gilnavarrocsares bolero bolero columbia
67,columbia_10046,El Muchacho Prisionero,Perita En Dulce,Corrido,Ranchera,Columbia,el muchacho prisionero perita en dulce miguel snchez rosas las palomas carolina elvira con el conjunto amrica prod por valds leal pedro dvila corrido ranchera columbia
68,columbia_10077,Querida,Como Lo Hice Yo,Balada,Balada,Columbia,querida como lo hice yo sandrooscar anderle sandro con lpez ruz su orq honey brussell balada balada columbia
69,columbia_10077,Querida,Como Lo Hice Yo,Balada,Balada,Columbia,querida como lo hice yo honey brussell sandro con lpez ruz su orq sandrooscar anderle balada balada columbia
70,columbia_10085,Fuiste Mia En Verano,Mi Tristeza Es Mia Y Nada Mas,Balada,Balada,Columbia,fuiste mia en verano mi tristeza es mia nada mas vico bertileonardo favio leonardo favio con marito cosentino su orq leonardo faviojacko zeller balada balada columbia
71,columbia_10127,Me Amas Y Me Dejas,Por Tu Amor,Balada,Balada,Columbia,me amas me dejas por tu amor anderlesandro sandro con lpez ruz su orq balada balada columbia
72,columbia_10161,"Ni El Clavel, Ni La Rosa",Quiero Aprender De Memoria,Balada,Balada,Columbia,ni el clavel ni la rosa quiero aprender de memoria leonardo favio balada balada columbia
73,columbia_10186,Fue Un Cuento De Amor,No Sabia Tu Nombre,Balada,Balada,Columbia,fue un cuento de amor no sabia tu nombre leonardo favio arr dir orq de mcosentino favioa cabralcdel valle balada balada columbia
74,columbia_10240,"Te Quiero Tanto, Amada Mia",Se Te Nota,Balada,Balada,Columbia,te quiero tanto amada mia se te nota sandrooscar anderle sandro con lpez ruz su orq sandroarmil balada balada columbia
75,columbia_10244,Crimen,Que Mas Quieres,Bolero,Bolero,Columbia,crimen que mas quieres alfredo gilmario molina montes los panchos gil navarro cceres chucho navarro bolero bolero columbia
76,columbia_10262,Pobre Mi Madre Querida,Pupilas De Cielo Breve,Balada,Balada,Columbia,pobre mi madre querida pupilas de cielo breve jos bettinotti sandro con lpez ruz su orq sandrooscar anderle balada balada columbia
77,columbia_10290,Pedro Nadie,Camino Lugares,Balada,Balada,Columbia,pedro nadie camino lugares pierojos piero balada balada columbia
78,columbia_10311,Voy A Abrazarme A Tus Pies,Paginas Sociales,Balada,Balada,Columbia,voy abrazarme tus pies paginas sociales sandrooanderle sandro con jorge leone su orq balada balada columbia
79,columbia_10336,Noche De Amantes,Dejalo Ya,Balada,Balada,Columbia,noche de amantes dejalo ya sandrooanderle sandro con jorge leone su orq balada balada columbia
80,columbia_10352,Mary Mi Amor,Tu Loco Amor,Balada,Balada,Columbia,mary mi amor tu loco amor leo dan balada balada columbia
81,columbia_10353,"Siempre Te Amare, Amor Mio",Un Sabado Especial,Balada,Balada,Columbia,siempre te amare amor mio un sabado especial sandro oanderle sandro balada balada columbia
82,columbia_10372,Extraños,Por Un Milagro De Amor,Balada,Balada,Columbia,extraos por un milagro de amor como poder saber si te amo leo dan con merito consentino su orq balada balada columbia
83,columbia_10405,Basura,No Corras,Bolero,Bolero,Columbia,basura no corras alfredo gil los panchos gil navarro hernndez bolero bolero columbia
84,columbia_10408,Con Tanto Amor,Si Tu Te Vas,Balada,Balada,Columbia,con tanto amor si tu te vas sandroo anderle sandro balada balada columbia
85,columbia_10446,Cuando Llora El Mar,Tengo Ganas De Ti,Bolero,Bolero,Columbia,cuando llora el mar tengo ganas de ti raul shaw moreno los panchos gil navarro hernndez chucho navarro bolero bolero columbia
86,columbia_10462,Un Gato En La Oscuridad,La Enamorada,Balada,Balada,Columbia,un gato en la oscuridad la enamorada un gatto nel blu toto saviobuddy mmccluskey musica participante do xxii festival de san remo roberto carlos namorada dubocc colla buddy mmccluskey balada balada columbia
87,columbia_10463,Hay Una Chica En Mi Camino,Quien No Tiene Una Ilusion,Balada,Balada,Columbia,hay una chica en mi camino quien no tiene una ilusion leo dan balada balada columbia
88,columbia_10519,Fue En Jerusalen,El Deseo De Vivir,Balada,Balada,Columbia,fue en jerusalen el deseo de vivir sandrooanderle sandro con jorge leone su orq balada balada columbia
89,columbia_10526,Aprende A Perdonar,El Ultimo Cafe,Balada,Balada,Columbia,aprende perdonar el ultimo cafe cceres enrique caceres catulo castilloh stamponi balada balada columbia
90,columbia_39660,Amaneci En Tus Brazos,Retirada,Ranchera,Ranchera,Columbia,amaneci en tus brazos retirada jos alfredo jimnez javier solis con el mariachi jalisco de pepe villa ranchera ranchera columbia
91,columbia_454065,Pensando,Por Eso La Quise,Bolero,Bolero,Columbia,pensando por eso la quise bienvenido brent trio los panchos gilnavarroavils julio cobosangal prez verduzco bolero bolero columbia
92,columbia_454120,A Su Salud,Amores Que Van Y Vienen,Ranchera,Ranchera,Columbia,su salud amores que van vienen cuco snchez cuco sanchez con el mariachi de miguel martinez ranchera ranchera columbia
93,columbia_epc421,La Pollera Amarilla ; Flauta De Caña,Cantare Una Cumbia ; Esta Noche No Me Esperes,Cumbia,Cumbia,Columbia,la pollera amarilla flauta de caa cantare una cumbia esta noche no me esperes sonia lopez su conjunto diego espinosa soto barcalapellegrinode rose arr dir de fzmaldonado fernando maldonado cortez cumbia cumbia columbia
94,columbia_epc431,El Cafetal ; Guiro Y Charanga,Cumbia Mulata ; Cumbia Barulera,Cumbia,Cumbia,Columbia,el cafetal guiro charanga cumbia mulata cumbia barulera salcedo velsquez linda vera su conjunto arr dir maldonado esther plaj ramrez luis prez cumbia cumbia columbia
95,columbia_epc481,Triunfamos ; Se Te Olvida,La Noche De Mi Amor ; Munequita Negra,Bolero,Bolero,Columbia,triunfamos se te olvida la noche de mi amor munequita negra rafael cardenas la mentira carrillo trio los panchos gilnavarroalbino duran jimenez bolero bolero columbia
96,columbia_epc702,Me Recordaras ; Espumas,Se Me Olvido Tu Nombre ; Reconciliacion,Bolero,Bolero,Columbia,me recordaras espumas se me olvido tu nombre reconciliacion salas jorge villamil javier solis con el mariachi los mensajeros el mariachi de villa raul rene rosado msacuna bolero bolero columbia
97,columbia_epc788,Parece Que Fue Ayer ; Cantina De Mi Barrio,Perdoname ; Quien Te Pregunto,Bolero,Bolero,Columbia,parece que fue ayer cantina de mi barrio perdoname quien te pregunto esta es la voz de vicente fernandez manzanero andrs osuna rosendo montiel bolero bolero columbia
98,columbia_epcm008,Como Romeo Y Julieta ; El Camino No Es Tan Largo,Yo Soy Gitano ; Con Tanto Amor,Balada,Balada,Columbia,como romeo julieta el camino no es tan largo yo soy gitano con tanto amor fabio espinosa sandrooanderle con jorge leone su orq balada balada columbia
99,columbia_epcm009,"Siempre Te Amare, Amor Mio ; Voy A Abrazarme A Tus Pies",Un Sabado Especial ; Noche De Amantes,Balada,Balada,Columbia,siempre te amare amor mio voy abrazarme tus pies un sabado especial noche de amantes sandrooanderle balada balada columbia
100,fania_438,Winchester Cathedral,Almas Olvidadas,Cha-cha-cha,Bolero,Fania,winchester cathedral almas olvidadas stephens orchestra harlow canta monguito lydio fuentes chachacha bolero fania
101,fania_424,Derrumbe,Nada Tiene Importancia Para Mi,Bolero,Bolero,Fania,derrumbe nada tiene importancia para mi tony pereyra acompaado por johnny pacheco bolero bolero fania
102,gema_1699,Vagar,El Prendedor,Bolero,Bolero,Gema,vagar el prendedor johnny irizarry trio los condes luis calaff bolero bolero gema
103,gema_1739,Esclavo Y Amo,Te Quiero-Te Espero,Balada,Balada,Gema,esclavo amo te quierote espero pasteles verdes dr alberto la torrefernando arias balada balada gema
104,gema_1034,Rio Manzanares,"Vida, Muchas Gracias",Guaracha,Bolero,Gema,rio manzanares vida muchas gracias grabado en cuba jose lopez rolando laserie orquesta bebo valdes frank dominguez guaracha bolero gema
105,gema_1056,Recordare Tu Amor,Dejame Olvidarte,Bolero,Bolero,Gema,recordare tu amor dejame olvidarte humberto jauma fernando alvarez la orquesta de bebo valds yaez gmez bolero bolero gema
106,gema_1062,Y Sono La Trompetilla,El Ultimo Tango,Guaracha,Tango,Gema,sono la trompetilla el ultimo tango arty valds pepe biondi con arty valds su grupo biondi guaracha tango gema
107,gema_1063,Total,Pagina En Blanco,Bolero,Bolero,Gema,total pagina en blanco ricardo perdomo fernando alvarez con el quintento de felipe dulzaides frank domnguez bolero bolero gema
108,gema_1065,Todos Bailan Con Las Guajiras,Tiene Que Ser Esta Noche,Son Montuno,Bolero,Gema,todos bailan con las guajiras tiene que ser esta noche cun miguelito cun su conjunto gonzlez ps son montuno bolero gema
109,gema_1067,Cuembe,La Chatarra,Guaracha,Plena,Gema,cuembe la chatarra rafael cepeda cortijo su combo con ismael rivera rogelio vlez guaracha plena gema
110,gema_1071,Elvira Que No Se Vira,Pideme,Guaracha,Bolero,Gema,elvira que no se vira pideme levyfraguo bequ los guaracheros de oriente emilio lama guaracha bolero gema
111,gema_1078,Tiene La Azucar Abajo,Sabor A Mi,Guaracha,Bolero,Gema,tiene la azucar abajo sabor mi luis kalaff rolando laserie orq bebo valds alvaro carrillo guaracha bolero gema
112,gema_1094,Mi Negocio Es Con Las Mujeres,Dolores La Buena Moza,Merengue,Merengue,Gema,mi negocio es con las mujeres dolores la buena moza luis kalaff luis kalaff sus alegres dominicanos merengue merengue gema
113,gema_1228,Flores Negras,Para La Quimbamba,Bolero,Pachanga,Gema,flores negras para la quimbamba sergio de carlos rolando laserie tito puente su orq ricardo daz bolero pachanga gema
114,gema_1236,Vendaval Sin Rumbo,"Si, Si, Si, Si.",Bolero,Vals,Gema,vendaval sin rumbo si si si si jose quiones pepe lara orq de radhames reyes bolero vals gema
115,gema_1237,Escandalo,A Las Cuatro Menos Cuarto,Bolero,Bolero,Gema,escandalo las cuatro menos cuarto fuentes crdenas paquitn soto bolero bolero gema
116,gema_1244,Perico,Si Te Contara,Guaracha,Bolero,Gema,perico si te contara carmen moya cortijo su combo con ismael rivera flix reina guaracha bolero gema
117,gema_1254,Voy A Apagar La Luz,Ya No Estoy Rebelde,Bolero,Bolero,Gema,voy apagar la luz ya no estoy rebelde manzanero felipe rodrguez la voz su conjunto pepito lacomba bolero bolero gema
118,gema_1255,Llanto De Luna,Si Llego A Besarte,Bolero,Bolero,Gema,llanto de luna si llego besarte julio gutirrez raul marrero julio gutirrez su orq luis romero bolero bolero gema
119,gema_1269,Llueve,La Rosa Y Yo,Bolero,Vals,Gema,llueve la rosa yo pepito lacomba felipe rodriguez la voz su tro los antares mickeysammyjunior wilfredo andrs falgs bolero vals gema
120,gema_1275,La Enorme Distancia,Te Van A Llorar,Guaracha,Plena,Gema,la enorme distancia te van llorar jos jimenez el gran combo con joseito mateo guaracha plena gema
121,gema_1276,Mi Nena,Que Sea Lo Que Dios Quiera,Vals,Bolero,Gema,mi nena que sea lo que dios quiera guillermo de anda raul marrero nieves quintero su conj benito de jess vals bolero gema
122,gema_1278,Los Mangos,La Calle Donde Tu Vives,Guaracha,Bolero,Gema,los mangos la calle donde tu vives piro valerio el gran combo con joseito mateo loewe de llano guaracha bolero gema
123,gema_1279,Viva Mi Tristeza,Mala Cabeza,Bolero,Guaracha,Gema,viva mi tristeza mala cabeza armando manzanero rolando laserie su orquesta justi barreto bolero guaracha gema
124,gema_1284,Cada Dia Mas,Ilusion Perdida,Bolero,Bolero,Gema,cada dia mas ilusion perdida guillermo porraspita trio los condes maldonadoblancoramos fernando ramos bolero bolero gema
125,gema_1288,Con Un Marinero,Con La Mesa Al Caco,Merengue,Guaracha,Gema,con un marinero con la mesa al caco henry arana el gran combo con joseito mateo miguel santana merengue guaracha gema
126,gema_1290,Una Vez Mas,Angustia,Bolero,Bolero,Gema,una vez mas angustia trini mrquez gilberto monroig orq radhams reyes alfau ketty cabn bolero bolero gema
127,gema_1291,Que Se Mueran De Envidia,Que Sabes Tu,Bolero,Bolero,Gema,que se mueran de envidia que sabes tu mario de jess raul marrero alberto olivero su orq de cuerdas mirta silva bolero bolero gema
128,gema_1296,Que Gustito Da,Cuidame Lo Mio,Plena,Plena,Gema,que gustito da cuidame lo mio toin romero ruth fernandez orq panamericana plena plena gema
129,gema_1299,Alicia La Flaca,Guaracha En España,Guaracha,Guaracha,Gema,alicia la flaca guaracha en espaa grabacin carrizal jos velzquez canta anibal velazquez con el conjunto carrizal velzquez guaracha guaracha gema
130,gema_1402,Carcelera,No Llores Por Mi,Bolero,Bolero,Gema,carcelera no llores por mi don felo felipe rodriguez la voz su conjunto andrs falgas bolero bolero gema
131,gema_1406,Me Sone Muerto,Que Sabes Tu,Bolero,Bolero,Gema,me sone muerto que sabes tu armando manzanero gilberto monroig orq radhams reyes alfau mirta silva bolero bolero gema
132,gema_1407,La Mafafa,La Muerte,Guaracha,Pachanga,Gema,la mafafa la muerte herrera el gran combo eligio ferrais guaracha pachanga gema
133,gema_1411,El Ladron,Amor Perdido,Porro,Bolero,Gema,el ladron amor perdido muecaacuario chorolo su combo canta jackie sustache pedro flores canta jos luis negrn porro bolero gema
134,gema_1415,Nena,Eres De Todos,Bolero,Bolero,Gema,nena eres de todos hector urdaneta gilberto monroig orquesta radhames reyes alfau rafael burgo lemoine bolero bolero gema
135,gema_1416,La Ultima Lagrima,Tres Flores Para Ti,Bolero,Guaracha,Gema,la ultima lagrima tres flores para ti silvaj hernandez trio los condes maldonadoblancoramos nelson navarro bolero guaracha gema
136,gema_1417,Ficha Blanca,Estas De Compromiso Y Seras Mia,Bolero,Vals,Gema,ficha blanca estas de compromiso seras mia lila conjunto de mario suarez al arpa amado lovera honorario falcon bolero vals gema
137,gema_1423,Cuando Me Emborracho,Nostalgia Habanera,Pachanga,Bolero,Gema,cuando me emborracho nostalgia habanera rolando laserie su orquesta bobby collazo pachanga bolero gema
138,gema_1426,No Me Pidas,La Vida Tiene Su Cosa,Bolero,Pachanga,Gema,no me pidas la vida tiene su cosa ortiz orlando contreras jorrin bolero pachanga gema
139,gema_1433,Llanto De Luna,Nuestras Vidas,Bolero,Bolero,Gema,llanto de luna nuestras vidas gutierrez gilberto monroig su guitarra orlando de la rosa bolero bolero gema
140,gema_1436,Imploracion,Alas Quebradas,Bolero,Vals,Gema,imploracion alas quebradas alberto proenza trio los condes maldonadoblancoramos jorge contreras bolero vals gema
141,gema_1442,La Cruz De Redencion,No Puede Ser,Bolero,Bolero,Gema,la cruz de redencion no puede ser rogelio lopez trio los condes maldonadoblancoramos luis demetrio bolero bolero gema
142,gema_1451,Dos Extraños,Mi Ultimo Refugio,Bolero,Bolero,Gema,dos extraos mi ultimo refugio arturo diaz rivero gilberto monroig german fernando bolero bolero gema
143,gema_1454,La Rareza,Yo Bailo Merengue,Pachanga,Merengue,Gema,la rareza yo bailo merengue tito henriquez el gran combo henry arana pachanga merengue gema
144,gema_1455,Desesperacion,No Se Pueden Borrar,Bolero,Bolero,Gema,desesperacion no se pueden borrar rafael hernandez nicolas casimiro juan lockward bolero bolero gema
145,gema_1458,Llora,Miseria,Vals,Bolero,Gema,llora miseria charles abreu gilberto monroig julio gutierrez su combo miguel angel valladares orquesta de cuerdas vals bolero gema
